# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 10.0, 10.0
-0.016900804164288276, 0.5674127062218304, 10.0, 10.0
-0.0342714263984135, 1.1348112238851968, 10.0, 10.0
-0.052007344749313233, 1.7021984404874333, 10.0, 10.0
-0.0700349627580863, 2.269576463812547, 10.0, 10.0
-0.08830163775955953, 2.8369468410334324, 10.0, 10.0
-0.10676924799424797, 3.404310713460649, 10.0, 10.0
-0.12540997073687096, 3.9716689246632484, 10.0, 10.0
-0.14405069347949392, 4.539027135865848, 10.0, 10.0
-0.1626914162221283, 5.106385347068448, 10.0, 10.0
-0.1813321389647399, 5.673743558271053, 10.0, 10.0
-0.19997286170737427, 6.241101769473653, 10.0, 10.0
-0.21861358444998588, 6.808459980676253, 10.0, 10.0
-0.23725430719262022, 7.375818191878858, 10.0, 10.0
-0.4280840155118085, 7.910445949095214, 10.0, 10.0
-0.7729103674969111, 8.361375659072309, 10.0, 10.0
-1.2388600807310013, 8.685618902795994, 10.0, 10.0
-1.7815128363287842, 8.85226464443228, 10.0, 10.0
-2.337077975941111, 8.968841623338625, 10.0, 10.0
-2.8937361239889925, 9.080082454759788, 10.0, 10.0
-3.4505268689639936, 9.190657690113694, 10.0, 10.0
-4.007317613938994, 9.3012329254676, 10.0, 10.0
-4.564108358913984, 9.411808160821506, 10.0, 10.0
-5.1208991038889735, 9.5223833961754, 10.0, 10.0
-5.677689848863975, 9.632958631529306, 10.0, 10.0
-6.234480593838976, 9.743533866883212, 10.0, 10.0
-6.791271338813965, 9.854109102237118, 10.0, 10.0
-7.348062083788955, 9.964684337591013, 10.0, 10.0
-7.904852828763956, 10.075259572944919, 10.0, 10.0
-8.461643573738957, 10.185834808298825, 10.0, 10.0
-9.018434318713947, 10.296410043652731, 10.0, 10.0
-9.575225063688936, 10.406985279006637, 10.0, 10.0
-10.132015808663937, 10.517560514360532, 10.0, 10.0
-10.688806553638939, 10.628135749714438, 10.0, 10.0
-11.245597298613928, 10.738710985068344, 10.0, 10.0
-11.802388043588918, 10.84928622042225, 10.0, 10.0
-12.359178788563918, 10.959861455776156, 10.0, 10.0
-12.91596953353892, 11.07043669113005, 10.0, 10.0
-13.47276027851391, 11.181011926483956, 10.0, 10.0
-14.0295510234889, 11.291587161837862, 10.0, 10.0
-14.5863417684639, 11.402162397191768, 10.0, 10.0
-15.1431325134389, 11.512737632545674, 10.0, 10.0
-15.69992325841389, 11.62331286789957, 10.0, 10.0
-16.25671400338889, 11.733888103253475, 10.0, 10.0
-16.81350474836388, 11.844463338607381, 10.0, 10.0
-17.370295493338883, 11.955038573961287, 10.0, 10.0
-17.927086238313883, 12.065613809315193, 10.0, 10.0
-18.483876983288884, 12.176189044669087, 10.0, 10.0
-19.040667728263873, 12.286764280022993, 10.0, 10.0
-19.597458473238873, 12.397339515376899, 10.0, 10.0
-20.154249218213863, 12.507914750730805, 10.0, 10.0
-20.711039963188867, 12.618489986084711, 10.0, 10.0
-21.267830708163867, 12.729065221438617, 10.0, 10.0
-21.824621453138867, 12.839640456792523, 10.0, 10.0
-22.381412198113857, 12.950215692146418, 10.0, 10.0
-22.938202943088857, 13.060790927500324, 10.0, 10.0
-23.494993688063857, 13.17136616285423, 10.0, 10.0
-24.051784433038847, 13.281941398208136, 10.0, 10.0
-24.60857517801385, 13.392516633562042, 10.0, 10.0
-25.16536592298885, 13.503091868915938, 10.0, 10.0
-25.72215666796385, 13.613667104269844, 10.0, 10.0
-26.27894741293884, 13.72424233962375, 10.0, 10.0
-26.775466000258735, 13.999400673695693, 10.0, 10.0
-27.164377892837663, 14.412910475482859, 10.0, 10.0
-27.408607007579167, 14.925350672848328, 10.0, 10.0
-27.49783681121629, 15.485958252627853, 10.0, 10.0
-27.475570897462042, 16.05318576028953, 10.0, 10.0
-27.380161188387156, 16.612774719953343, 10.0, 10.0
-27.237539487989224, 17.16223069356632, 10.0, 10.0
-27.063951496824487, 17.702702733256416, 10.0, 10.0
-26.869488124575458, 18.236019537057796, 10.0, 10.0
-26.660515068564067, 18.763819762734745, 10.0, 10.0
-26.44114161784645, 19.287382658176767, 10.0, 10.0
-26.214085986621367, 19.807660042552023, 10.0, 10.0
-25.98118877809178, 20.325348855085686, 10.0, 10.0
-25.743723287095396, 20.840958161585508, 10.0, 10.0
-25.502587101308336, 21.354861028154136, 10.0, 10.0
-25.258422985243115, 21.867332198845197, 10.0, 10.0
-25.011696702675124, 22.378574761484078, 10.0, 10.0
-24.762748022889856, 22.888738824503566, 10.0, 10.0
-24.511824644306117, 23.39793453780397, 10.0, 10.0
-24.25910497679545, 23.90624112443912, 10.0, 10.0
-24.00471346691235, 24.41371307052362, 10.0, 10.0
-23.748730775076435, 24.920384243814357, 10.0, 10.0
-23.491200253243314, 25.42627044315937, 10.0, 10.0
-23.400270246199195, 25.986604763170504, 10.0, 10.0
-23.484609371596196, 26.547968930436863, 10.0, 10.0
-23.73617733938104, 27.056846493263112, 10.0, 10.0
-24.130991455642928, 27.464724698078882, 10.0, 10.0
-24.63141296141996, 27.732719348994188, 10.0, 10.0
-25.18973524324656, 27.835281749411315, 10.0, 10.0
-25.755788856572167, 27.79254858659345, 10.0, 10.0
-26.308610407925187, 27.66358677549026, 10.0, 10.0
-26.84760628796264, 27.485468113733447, 10.0, 10.0
-27.376318425759468, 27.27881310723786, 10.0, 10.0
-27.89800592936938, 27.055016402747725, 10.0, 10.0
-28.414980909226415, 26.820538927144636, 10.0, 10.0
-28.92877252351988, 26.579165785629044, 10.0, 10.0
-29.44037540987106, 26.333187528377465, 10.0, 10.0
-29.95043901703555, 26.08403309231474, 10.0, 10.0
-30.459392797469935, 25.832619358113682, 10.0, 10.0
-30.967525425240154, 25.579550100876233, 10.0, 10.0
-31.475034399811445, 25.325232470553473, 10.0, 10.0
-31.98205722340905, 25.069946997573727, 10.0, 10.0
-32.48869120074584, 24.81389069639898, 10.0, 10.0
-32.995006181824316, 24.557204202210286, 10.0, 10.0
-33.50105288099991, 24.299989205336324, 10.0, 10.0
-34.006868383811, 24.042319856209698, 10.0, 10.0
-34.51247983664586, 23.784250340137756, 10.0, 10.0
-35.01790694029592, 23.525819964099455, 10.0, 10.0
